1	0	8.3
1	1	7.9
1	2	7.9
1	3	6.5
1	4	5.4
1	5	5.4
1	6	6
1	7	7.2
1	8	10.4
1	9	13.2
1	10	16.5
1	11	18.8
1	12	19.6
1	13	20.7
1	14	20.5
1	15	20.6
1	16	20.8
1	17	19.6
1	18	17.9
1	19	16.2
1	20	15.4
1	21	9.4
1	22	8.1
1	23	9.3
2	0	9.7
2	1	10.3
2	2	10.4
2	3	10.1
2	4	9.3
2	5	9.6
2	6	9.4
2	7	9.7
2	8	12.6
2	9	12.7
2	10	12.9
2	11	14.2
2	12	13
2	13	12.5
2	14	12.3
2	15	13.1
2	16	13.7
2	17	13.9
2	18	13.5
2	19	12.4
2	20	10
2	21	9.3
2	22	9.3
2	23	9.1
3	0	8.4
3	1	7.9
3	2	7.6
3	3	7.9
3	4	8
3	5	7.7
3	6	7.3
3	7	7.2
3	8	7.4
3	9	7.7
3	10	8.3
3	11	9.2
3	12	10.4
3	13	10.1
3	14	10.3
3	15	11
3	16	8.9
3	17	9.8
3	18	11
3	19	10.5
3	20	9
3	21	9.2
3	22	8.1
3	23	6.3
4	0	5.5
4	1	4.8
4	2	4.3
4	3	3.7
4	4	3.2
4	5	3.4
4	6	3
4	7	4.7
4	8	9
4	9	13.2
4	10	15.3
4	11	16.7
4	12	16
4	13	16.7
4	14	17.6
4	15	16
4	16	17.9
4	17	17.2
4	18	16.9
4	19	14
4	20	14.3
4	21	12.4
4	22	10.1
4	23	8.7
5	0	8.9
5	1	9
5	2	9.5
5	3	7.6
5	4	6.9
5	5	6
5	6	4.8
5	7	6.6
5	8	9.3
5	9	12
5	10	14.5
5	11	16.1
5	12	18
5	13	20.1
5	14	21.6
5	15	22.6
5	16	23
5	17	22.8
5	18	21.5
5	19	19.2
5	20	17.3
5	21	13.5
5	22	12.9
5	23	11.3
6	0	11.3
6	1	10.8
6	2	10.1
6	3	8.2
6	4	8.5
6	5	8.2
6	6	8.3
6	7	9.7
6	8	12.9
6	9	15.5
6	10	18.1
6	11	19.5
6	12	21.2
6	13	23
6	14	23.6
6	15	23.6
6	16	24
6	17	24
6	18	23.2
6	19	20.4
6	20	18.3
6	21	16.9
6	22	15.6
6	23	15
